id_sample,sample_name,plot,rep,experiment,environment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,PictureOfplot,NotesOfplot,PictureOfexperiment,NotesOfexperiment,Audio
8_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,8,1,ACRE-Biomass,Late,y22,width-height,sampling-2,59,56,7/28/2022,,,,,
9_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,9,1,ACRE-Biomass,Late,y22,width-height,sampling-2,69,60,7/28/2022,,,,,
9_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,9,1,ACRE-Biomass,Late,y22,width-height,sampling-2,66,65,7/28/2022,,,,,
9_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,9,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,77,7/28/2022,,,,,
9_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,9,1,ACRE-Biomass,Late,y22,width-height,sampling-2,70,70,7/28/2022,,,,,
10_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,10,1,ACRE-Biomass,Late,y22,width-height,sampling-2,62,67,7/28/2022,,,,,
10_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,10,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
10_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,10,1,ACRE-Biomass,Late,y22,width-height,sampling-2,66,64,7/28/2022,,,,,
10_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,10,1,ACRE-Biomass,Late,y22,width-height,sampling-2,67,59,7/28/2022,,,,,
11_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,11,1,ACRE-Biomass,Late,y22,width-height,sampling-2,61,76,7/28/2022,,,,,
11_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,11,1,ACRE-Biomass,Late,y22,width-height,sampling-2,58,61,7/28/2022,,,,,
11_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,11,1,ACRE-Biomass,Late,y22,width-height,sampling-2,65,69,7/28/2022,,,,,
11_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,11,1,ACRE-Biomass,Late,y22,width-height,sampling-2,50,53,7/28/2022,,,,,
12_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,12,1,ACRE-Biomass,Late,y22,width-height,sampling-2,56,51,7/28/2022,,,,,
12_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,12,1,ACRE-Biomass,Late,y22,width-height,sampling-2,54,54,7/28/2022,,,,,
12_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,12,1,ACRE-Biomass,Late,y22,width-height,sampling-2,63,60,7/28/2022,,,,,
12_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,12,1,ACRE-Biomass,Late,y22,width-height,sampling-2,58,60,7/28/2022,,,,,
13_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,13,1,ACRE-Biomass,Late,y22,width-height,sampling-2,65,63,7/28/2022,,,,,
13_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,13,1,ACRE-Biomass,Late,y22,width-height,sampling-2,65,65,7/28/2022,,,,,
13_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,13,1,ACRE-Biomass,Late,y22,width-height,sampling-2,57,52,7/28/2022,,,,,
13_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,13,1,ACRE-Biomass,Late,y22,width-height,sampling-2,64,58,7/28/2022,,,,,
14_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,14,1,ACRE-Biomass,Late,y22,width-height,sampling-2,59,63,7/28/2022,,,,,
14_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,14,1,ACRE-Biomass,Late,y22,width-height,sampling-2,62,54,7/28/2022,,,,,
14_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,14,1,ACRE-Biomass,Late,y22,width-height,sampling-2,45,60,7/28/2022,,,,,
14_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,14,1,ACRE-Biomass,Late,y22,width-height,sampling-2,65,55,7/28/2022,,,,,
15_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,15,1,ACRE-Biomass,Late,y22,width-height,sampling-2,47,65,7/28/2022,,,,,
15_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,15,1,ACRE-Biomass,Late,y22,width-height,sampling-2,65,65,7/28/2022,,,,,
15_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,15,1,ACRE-Biomass,Late,y22,width-height,sampling-2,51,54,7/28/2022,,,,,
15_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,15,1,ACRE-Biomass,Late,y22,width-height,sampling-2,55,55,7/28/2022,,,,,
16_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,16,1,ACRE-Biomass,Late,y22,width-height,sampling-2,51,59,7/28/2022,,,,,
16_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,16,1,ACRE-Biomass,Late,y22,width-height,sampling-2,63,68,7/28/2022,,,,,
16_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,16,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
16_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,16,1,ACRE-Biomass,Late,y22,width-height,sampling-2,59,53,7/28/2022,,,,,
17_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,17,1,ACRE-Biomass,Late,y22,width-height,sampling-2,45,60,7/28/2022,,,,,
17_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,17,1,ACRE-Biomass,Late,y22,width-height,sampling-2,53,62,7/28/2022,,,,,
17_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,17,1,ACRE-Biomass,Late,y22,width-height,sampling-2,47,56,7/28/2022,,,,,
17_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,17,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
18_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,18,1,ACRE-Biomass,Late,y22,width-height,sampling-2,53,69,7/28/2022,,,,,
18_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,18,1,ACRE-Biomass,Late,y22,width-height,sampling-2,56,65,7/28/2022,,,,,
18_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,18,1,ACRE-Biomass,Late,y22,width-height,sampling-2,47,54,7/28/2022,,,,,
18_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,18,1,ACRE-Biomass,Late,y22,width-height,sampling-2,50,54,7/28/2022,,,,,
19_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,19,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,70,7/28/2022,,,,,
19_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,19,1,ACRE-Biomass,Late,y22,width-height,sampling-2,67,65,7/28/2022,,,,,
19_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,19,1,ACRE-Biomass,Late,y22,width-height,sampling-2,70,65,7/28/2022,,,,,
19_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,19,1,ACRE-Biomass,Late,y22,width-height,sampling-2,70,72,7/28/2022,,,,,
20_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,20,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,63,7/28/2022,,,,,
20_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,20,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,70,7/28/2022,,,,,
20_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,20,1,ACRE-Biomass,Late,y22,width-height,sampling-2,50,56,7/28/2022,,,,,
20_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,20,1,ACRE-Biomass,Late,y22,width-height,sampling-2,50,64,7/28/2022,,,,,
21_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,21,1,ACRE-Biomass,Late,y22,width-height,sampling-2,68,58,7/28/2022,,,,,
21_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,21,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,73,7/28/2022,,,,,
21_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,21,1,ACRE-Biomass,Late,y22,width-height,sampling-2,63,72,7/28/2022,,,,,
21_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,21,1,ACRE-Biomass,Late,y22,width-height,sampling-2,71,65,7/28/2022,,,,,
22_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,22,1,ACRE-Biomass,Late,y22,width-height,sampling-2,47,64,7/28/2022,,,,,
22_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,22,1,ACRE-Biomass,Late,y22,width-height,sampling-2,60,72,7/28/2022,,,,,
22_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,22,1,ACRE-Biomass,Late,y22,width-height,sampling-2,59,70,7/28/2022,,,,,
22_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,22,1,ACRE-Biomass,Late,y22,width-height,sampling-2,55,72,7/28/2022,,,,,
23_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,23,1,ACRE-Biomass,Late,y22,width-height,sampling-2,59,55,7/28/2022,,,,,
23_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,23,1,ACRE-Biomass,Late,y22,width-height,sampling-2,50,57,7/28/2022,,,,,
23_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,23,1,ACRE-Biomass,Late,y22,width-height,sampling-2,62,63,7/28/2022,,,,,
23_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,23,1,ACRE-Biomass,Late,y22,width-height,sampling-2,62,73,7/28/2022,,,,,
24_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,24,1,ACRE-Biomass,Late,y22,width-height,sampling-2,70,63,7/28/2022,,,,,
24_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,24,1,ACRE-Biomass,Late,y22,width-height,sampling-2,67,69,7/28/2022,,,,,
24_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,24,1,ACRE-Biomass,Late,y22,width-height,sampling-2,74,70,7/28/2022,,,,,
24_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,24,1,ACRE-Biomass,Late,y22,width-height,sampling-2,70,75,7/28/2022,,,,,
25_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,25,1,ACRE-Biomass,Late,y22,width-height,sampling-2,71,67,7/28/2022,,,,,
25_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,25,1,ACRE-Biomass,Late,y22,width-height,sampling-2,66,61,7/28/2022,,,,,
25_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,25,1,ACRE-Biomass,Late,y22,width-height,sampling-2,69,61,7/28/2022,,,,,
25_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,25,1,ACRE-Biomass,Late,y22,width-height,sampling-2,62,63,7/28/2022,,,,,
26_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,26,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,70,7/28/2022,,,,,
26_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,26,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,65,7/28/2022,,,,,
26_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,26,2,ACRE-Biomass,Late,y22,width-height,sampling-2,66,70,7/28/2022,,,,,
26_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,26,2,ACRE-Biomass,Late,y22,width-height,sampling-2,63,65,7/28/2022,,,,,
27_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,27,2,ACRE-Biomass,Late,y22,width-height,sampling-2,67,70,7/28/2022,,,,,
27_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,27,2,ACRE-Biomass,Late,y22,width-height,sampling-2,67,72,7/28/2022,,,,,
27_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,27,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,69,7/28/2022,,,,,
27_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,27,2,ACRE-Biomass,Late,y22,width-height,sampling-2,65,56,7/28/2022,,,,,
28_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,28,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,60,7/28/2022,,,,,
28_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,28,2,ACRE-Biomass,Late,y22,width-height,sampling-2,52,63,7/28/2022,,,,,
28_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,28,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,70,7/28/2022,,,,,
28_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,28,2,ACRE-Biomass,Late,y22,width-height,sampling-2,69,64,7/28/2022,,,,,
29_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,29,2,ACRE-Biomass,Late,y22,width-height,sampling-2,66,55,7/28/2022,,,,,
29_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,29,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,66,7/28/2022,,,,,
29_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,29,2,ACRE-Biomass,Late,y22,width-height,sampling-2,56,57,7/28/2022,,,,,
29_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,29,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,71,7/28/2022,,,,,
30_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,30,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,66,7/28/2022,,,,,
30_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,30,2,ACRE-Biomass,Late,y22,width-height,sampling-2,74,70,7/28/2022,,,,,
30_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,30,2,ACRE-Biomass,Late,y22,width-height,sampling-2,72,61,7/28/2022,,,,,
30_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,30,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,67,7/28/2022,,,,,
31_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,31,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,60,7/28/2022,,,,,
31_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,31,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,61,7/28/2022,,,,,
31_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,31,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,60,7/28/2022,,,,,
31_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,31,2,ACRE-Biomass,Late,y22,width-height,sampling-2,70,61,7/28/2022,,,,,
32_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,32,2,ACRE-Biomass,Late,y22,width-height,sampling-2,56,61,7/28/2022,,,,,
32_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,32,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,56,7/28/2022,,,,,
32_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,32,2,ACRE-Biomass,Late,y22,width-height,sampling-2,55,51,7/28/2022,,,,,
32_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,32,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,57,7/28/2022,,,,,
33_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,33,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,70,7/28/2022,,,,,
33_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,33,2,ACRE-Biomass,Late,y22,width-height,sampling-2,72,64,7/28/2022,,,,,
33_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,33,2,ACRE-Biomass,Late,y22,width-height,sampling-2,58,74,7/28/2022,,,,,
33_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,33,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,62,7/28/2022,,,,,
34_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,34,2,ACRE-Biomass,Late,y22,width-height,sampling-2,66,66,7/28/2022,,,,,
34_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,34,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,55,7/28/2022,,,,,
34_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,34,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,66,7/28/2022,,,,,
34_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,34,2,ACRE-Biomass,Late,y22,width-height,sampling-2,67,69,7/28/2022,,,,,
35_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,35,2,ACRE-Biomass,Late,y22,width-height,sampling-2,65,67,7/28/2022,,,,,
35_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,35,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,65,7/28/2022,,,,,
35_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,35,2,ACRE-Biomass,Late,y22,width-height,sampling-2,65,70,7/28/2022,,,,,
35_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,35,2,ACRE-Biomass,Late,y22,width-height,sampling-2,59,69,7/28/2022,,,,,
36_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,36,2,ACRE-Biomass,Late,y22,width-height,sampling-2,67,74,7/28/2022,,,,,
36_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,36,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,78,7/28/2022,,,,,
36_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,36,2,ACRE-Biomass,Late,y22,width-height,sampling-2,65,70,7/28/2022,,,,,
36_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,36,2,ACRE-Biomass,Late,y22,width-height,sampling-2,52,70,7/28/2022,,,,,
37_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,37,2,ACRE-Biomass,Late,y22,width-height,sampling-2,66,61,7/28/2022,,,,,
37_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,37,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,66,7/28/2022,,,,,
37_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,37,2,ACRE-Biomass,Late,y22,width-height,sampling-2,64,66,7/28/2022,,,,,
37_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,37,2,ACRE-Biomass,Late,y22,width-height,sampling-2,63,63,7/28/2022,,,,,
38_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,38,2,ACRE-Biomass,Late,y22,width-height,sampling-2,55,58,7/28/2022,,,,,
38_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,38,2,ACRE-Biomass,Late,y22,width-height,sampling-2,56,58,7/28/2022,,,,,
38_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,38,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,66,7/28/2022,,,,,
38_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,38,2,ACRE-Biomass,Late,y22,width-height,sampling-2,57,63,7/28/2022,,,,,
39_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,39,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,67,7/28/2022,,,,,
39_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,39,2,ACRE-Biomass,Late,y22,width-height,sampling-2,64,66,7/28/2022,,,,,
39_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,39,2,ACRE-Biomass,Late,y22,width-height,sampling-2,59,62,7/28/2022,,,,,
39_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,39,2,ACRE-Biomass,Late,y22,width-height,sampling-2,55,60,7/28/2022,,,,,
40_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,40,2,ACRE-Biomass,Late,y22,width-height,sampling-2,63,66,7/28/2022,,,,,
40_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,40,2,ACRE-Biomass,Late,y22,width-height,sampling-2,67,70,7/28/2022,,,,,
40_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,40,2,ACRE-Biomass,Late,y22,width-height,sampling-2,64,71,7/28/2022,,,,,
40_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,40,2,ACRE-Biomass,Late,y22,width-height,sampling-2,61,69,7/28/2022,,,,,
41_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,41,2,ACRE-Biomass,Late,y22,width-height,sampling-2,53,55,7/28/2022,,,,,
41_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,41,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,61,7/28/2022,,,,,
41_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,41,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,65,7/28/2022,,,,,
41_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,41,2,ACRE-Biomass,Late,y22,width-height,sampling-2,68,63,7/28/2022,,,,,
42_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,42,2,ACRE-Biomass,Late,y22,width-height,sampling-2,59,63,7/28/2022,,,,,
42_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,42,2,ACRE-Biomass,Late,y22,width-height,sampling-2,52,65,7/28/2022,,,,,
42_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,42,2,ACRE-Biomass,Late,y22,width-height,sampling-2,51,65,7/28/2022,,,,,
42_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,42,2,ACRE-Biomass,Late,y22,width-height,sampling-2,50,56,7/28/2022,,,,,
43_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,43,2,ACRE-Biomass,Late,y22,width-height,sampling-2,53,60,7/28/2022,,,,,
43_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,43,2,ACRE-Biomass,Late,y22,width-height,sampling-2,62,60,7/28/2022,,,,,
43_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,43,2,ACRE-Biomass,Late,y22,width-height,sampling-2,56,66,7/28/2022,,,,,
43_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,43,2,ACRE-Biomass,Late,y22,width-height,sampling-2,59,65,7/28/2022,,,,,
44_a_ACRE-Biomass_Late_y22_width-height_sampling-2,a,44,2,ACRE-Biomass,Late,y22,width-height,sampling-2,49,46,7/28/2022,,,,,
44_b_ACRE-Biomass_Late_y22_width-height_sampling-2,b,44,2,ACRE-Biomass,Late,y22,width-height,sampling-2,60,70,7/28/2022,,,,,
44_c_ACRE-Biomass_Late_y22_width-height_sampling-2,c,44,2,ACRE-Biomass,Late,y22,width-height,sampling-2,55,57,7/28/2022,,,,,
44_d_ACRE-Biomass_Late_y22_width-height_sampling-2,d,44,2,ACRE-Biomass,Late,y22,width-height,sampling-2,58,60,7/28/2022,,,,,
