id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),Date Of Measurement,picture_Plot,picture_Experiment,notes_Plot,audio
4_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,4,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,53,7/19/2022,,,,
5_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,5,1,ACRE-Biomass,Late,y22,width-height,sampling-1,28,43,7/19/2022,,,,
5_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,5,1,ACRE-Biomass,Late,y22,width-height,sampling-1,33,47,7/19/2022,,,,
5_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,5,1,ACRE-Biomass,Late,y22,width-height,sampling-1,30,45,7/19/2022,,,,
5_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,5,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32.5,48,7/19/2022,,,,
6_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,6,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,51,7/19/2022,,,,
6_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,6,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35.5,50,7/19/2022,,,,
6_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,6,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,43,7/19/2022,,,,
6_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,6,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,47,7/19/2022,,,,
7_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,7,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,48,7/19/2022,,,,
7_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,7,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,53,7/19/2022,,,,
7_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,7,1,ACRE-Biomass,Late,y22,width-height,sampling-1,42,54,7/19/2022,,,,
7_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,7,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,51,7/19/2022,,,,
8_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,8,1,ACRE-Biomass,Late,y22,width-height,sampling-1,33,47,7/19/2022,,,,
8_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,8,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,54,7/19/2022,,,,
8_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,8,1,ACRE-Biomass,Late,y22,width-height,sampling-1,42,51,7/19/2022,,,,
8_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,8,1,ACRE-Biomass,Late,y22,width-height,sampling-1,45,49,7/19/2022,,,,
9_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,9,1,ACRE-Biomass,Late,y22,width-height,sampling-1,40,57,7/19/2022,,,,
9_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,9,1,ACRE-Biomass,Late,y22,width-height,sampling-1,42,51,7/19/2022,,,,
9_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,9,1,ACRE-Biomass,Late,y22,width-height,sampling-1,41,52,7/19/2022,,,,
9_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,9,1,ACRE-Biomass,Late,y22,width-height,sampling-1,46,55,7/19/2022,,,,
10_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,10,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,54,7/19/2022,,,,
10_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,10,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,45,7/19/2022,,,,
10_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,10,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,46,7/19/2022,,,,
10_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,10,1,ACRE-Biomass,Late,y22,width-height,sampling-1,40,48,7/19/2022,,,,
11_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,11,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,47,7/19/2022,,,,
11_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,11,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,53,7/19/2022,,,,
11_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,11,1,ACRE-Biomass,Late,y22,width-height,sampling-1,39,45,7/19/2022,,,,
11_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,11,1,ACRE-Biomass,Late,y22,width-height,sampling-1,42,44,7/19/2022,,,,
12_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,12,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,38,7/19/2022,,,,
12_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,12,1,ACRE-Biomass,Late,y22,width-height,sampling-1,31,49,7/19/2022,,,,
12_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,12,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,41,7/19/2022,,,,
12_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,12,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,45,7/19/2022,,,,
13_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,13,1,ACRE-Biomass,Late,y22,width-height,sampling-1,29,47,7/19/2022,,,,
13_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,13,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,42,7/19/2022,,,,
13_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,13,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,43,7/19/2022,,,,
13_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,13,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,46,7/19/2022,,,,
14_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,14,1,ACRE-Biomass,Late,y22,width-height,sampling-1,29,50,7/19/2022,,,,
14_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,14,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,45,7/19/2022,,,,
14_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,14,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,48,7/19/2022,,,,
14_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,14,1,ACRE-Biomass,Late,y22,width-height,sampling-1,31,49,7/19/2022,,,,
15_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,15,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,49,7/19/2022,,,,
15_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,15,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,44,7/19/2022,,,,
15_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,15,1,ACRE-Biomass,Late,y22,width-height,sampling-1,28,48,7/19/2022,,,,
15_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,15,1,ACRE-Biomass,Late,y22,width-height,sampling-1,33,47,7/19/2022,,,,
16_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,16,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,46,7/19/2022,,,,
16_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,16,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,46,7/19/2022,,,,
16_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,16,1,ACRE-Biomass,Late,y22,width-height,sampling-1,31,50,7/19/2022,,,,
16_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,16,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,47,7/19/2022,,,,
17_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,17,1,ACRE-Biomass,Late,y22,width-height,sampling-1,24,53,7/19/2022,,,,
17_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,17,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,47,7/19/2022,,,,
17_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,17,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,51,7/19/2022,,,,
17_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,17,1,ACRE-Biomass,Late,y22,width-height,sampling-1,23,40,7/19/2022,,,,
18_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,18,1,ACRE-Biomass,Late,y22,width-height,sampling-1,30,45,7/19/2022,,,,
18_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,18,1,ACRE-Biomass,Late,y22,width-height,sampling-1,28,47,7/19/2022,,,,
18_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,18,1,ACRE-Biomass,Late,y22,width-height,sampling-1,36,42,7/19/2022,,,,
18_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,18,1,ACRE-Biomass,Late,y22,width-height,sampling-1,27,46,7/19/2022,,,,
19_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,19,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,51,7/19/2022,,,,
19_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,19,1,ACRE-Biomass,Late,y22,width-height,sampling-1,43,48,7/19/2022,,,,
19_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,19,1,ACRE-Biomass,Late,y22,width-height,sampling-1,46,46,7/19/2022,,,,
19_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,19,1,ACRE-Biomass,Late,y22,width-height,sampling-1,45,48,7/19/2022,,,,
20_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,20,1,ACRE-Biomass,Late,y22,width-height,sampling-1,31,54,7/19/2022,,,,
20_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,20,1,ACRE-Biomass,Late,y22,width-height,sampling-1,32,53,7/19/2022,,,,
20_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,20,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,46,7/19/2022,,,,
20_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,20,1,ACRE-Biomass,Late,y22,width-height,sampling-1,29,45,7/19/2022,,,,
21_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,21,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,52,7/19/2022,,,,
21_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,21,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,52,7/19/2022,,,,
21_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,21,1,ACRE-Biomass,Late,y22,width-height,sampling-1,33,49,7/19/2022,,,,
21_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,21,1,ACRE-Biomass,Late,y22,width-height,sampling-1,35,45,7/19/2022,,,,
22_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,22,1,ACRE-Biomass,Late,y22,width-height,sampling-1,33,48,7/19/2022,,,,
22_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,22,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,48,7/19/2022,,,,
22_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,22,1,ACRE-Biomass,Late,y22,width-height,sampling-1,28,50,7/19/2022,,,,
22_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,22,1,ACRE-Biomass,Late,y22,width-height,sampling-1,30,53,7/19/2022,,,,
23_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,23,1,ACRE-Biomass,Late,y22,width-height,sampling-1,33,54,7/19/2022,,,,
23_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,23,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,52,7/19/2022,,,,
23_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,23,1,ACRE-Biomass,Late,y22,width-height,sampling-1,34,56,7/19/2022,,,,
23_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,23,1,ACRE-Biomass,Late,y22,width-height,sampling-1,37,52,7/19/2022,,,,
24_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,24,1,ACRE-Biomass,Late,y22,width-height,sampling-1,38,61,7/19/2022,,,,
24_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,24,1,ACRE-Biomass,Late,y22,width-height,sampling-1,41,53,7/19/2022,,,,
24_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,24,1,ACRE-Biomass,Late,y22,width-height,sampling-1,43,53,7/19/2022,,,,
24_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,24,1,ACRE-Biomass,Late,y22,width-height,sampling-1,47,49,7/19/2022,,,,
25_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,25,1,ACRE-Biomass,Late,y22,width-height,sampling-1,39,47,7/19/2022,,,,
25_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,25,1,ACRE-Biomass,Late,y22,width-height,sampling-1,46,47,7/19/2022,,,,
25_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,25,1,ACRE-Biomass,Late,y22,width-height,sampling-1,45,46,7/19/2022,,,,
25_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,25,1,ACRE-Biomass,Late,y22,width-height,sampling-1,49,50,7/19/2022,,,,
26_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,26,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,51,7/19/2022,,,,
26_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,26,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,52,7/19/2022,,,,
26_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,26,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,50,7/19/2022,,,,
26_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,26,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,50,7/19/2022,,,,
27_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,27,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35,53,7/19/2022,,,,
27_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,27,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,51,7/19/2022,,,,
27_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,27,2,ACRE-Biomass,Late,y22,width-height,sampling-1,33,58,7/19/2022,,,,
27_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,27,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,53,7/19/2022,,,,
28_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,28,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37,56,7/19/2022,,,,
28_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,28,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,58,7/19/2022,,,,
28_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,28,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41,52,7/19/2022,,,,
28_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,28,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35.5,56,7/19/2022,,,,
29_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,29,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35,46,7/19/2022,,,,
29_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,29,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34.5,45,7/19/2022,,,,
29_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,29,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41,40,7/19/2022,,,,
29_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,29,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,44,7/19/2022,,,,
30_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,30,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,46,7/19/2022,,,,
30_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,30,2,ACRE-Biomass,Late,y22,width-height,sampling-1,39,48,7/19/2022,,,,
30_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,30,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,54,7/19/2022,,,,
30_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,30,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37,49,7/19/2022,,,,
31_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,31,2,ACRE-Biomass,Late,y22,width-height,sampling-1,48,51,7/19/2022,,,,
31_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,31,2,ACRE-Biomass,Late,y22,width-height,sampling-1,39,43,7/19/2022,,,,
31_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,31,2,ACRE-Biomass,Late,y22,width-height,sampling-1,42,41,7/19/2022,,,,
31_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,31,2,ACRE-Biomass,Late,y22,width-height,sampling-1,43,48,7/19/2022,,,,
32_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,32,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35,52,7/19/2022,,,,
32_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,32,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,54,7/19/2022,,,,
32_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,32,2,ACRE-Biomass,Late,y22,width-height,sampling-1,42,51,7/19/2022,,,,
32_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,32,2,ACRE-Biomass,Late,y22,width-height,sampling-1,44,49,7/19/2022,,,,
33_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,33,2,ACRE-Biomass,Late,y22,width-height,sampling-1,47,51,7/19/2022,,,,
33_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,33,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,53,7/19/2022,,,,
33_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,33,2,ACRE-Biomass,Late,y22,width-height,sampling-1,46,52,7/19/2022,,,,
33_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,33,2,ACRE-Biomass,Late,y22,width-height,sampling-1,42,49,7/19/2022,,,,
34_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,34,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41,56,7/19/2022,,,,
34_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,34,2,ACRE-Biomass,Late,y22,width-height,sampling-1,42.5,51,7/19/2022,,,,
34_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,34,2,ACRE-Biomass,Late,y22,width-height,sampling-1,45,48,7/19/2022,,,,
34_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,34,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37.5,47,7/19/2022,,,,
35_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,35,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41.5,56,7/19/2022,,,,
35_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,35,2,ACRE-Biomass,Late,y22,width-height,sampling-1,40.5,55,7/19/2022,,,,
35_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,35,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,53,7/19/2022,,,,
35_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,35,2,ACRE-Biomass,Late,y22,width-height,sampling-1,40,50,7/19/2022,,,,
36_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,36,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,52,7/19/2022,,,,
36_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,36,2,ACRE-Biomass,Late,y22,width-height,sampling-1,43,56,7/19/2022,,,,
36_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,36,2,ACRE-Biomass,Late,y22,width-height,sampling-1,31,55,7/19/2022,,,,
36_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,36,2,ACRE-Biomass,Late,y22,width-height,sampling-1,33,50,7/19/2022,,,,
37_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,37,2,ACRE-Biomass,Late,y22,width-height,sampling-1,44.5,48,7/19/2022,,,,
37_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,37,2,ACRE-Biomass,Late,y22,width-height,sampling-1,40.5,55,7/19/2022,,,,
37_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,37,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37,46,7/19/2022,,,,
37_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,37,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,53,7/19/2022,,,,
38_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,38,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,54,7/19/2022,,,,
38_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,38,2,ACRE-Biomass,Late,y22,width-height,sampling-1,36,51,7/19/2022,,,,
38_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,38,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37.5,45,7/19/2022,,,,
38_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,38,2,ACRE-Biomass,Late,y22,width-height,sampling-1,45,47,7/19/2022,,,,
39_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,39,2,ACRE-Biomass,Late,y22,width-height,sampling-1,42,52,7/19/2022,,,,
39_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,39,2,ACRE-Biomass,Late,y22,width-height,sampling-1,33,55,7/19/2022,,,,
39_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,39,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,45,7/19/2022,,,,
39_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,39,2,ACRE-Biomass,Late,y22,width-height,sampling-1,38,55,7/19/2022,,,,
40_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,40,2,ACRE-Biomass,Late,y22,width-height,sampling-1,43.5,52,7/19/2022,,,,
40_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,40,2,ACRE-Biomass,Late,y22,width-height,sampling-1,41,52,7/19/2022,,,,
40_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,40,2,ACRE-Biomass,Late,y22,width-height,sampling-1,45.5,54,7/19/2022,,,,
40_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,40,2,ACRE-Biomass,Late,y22,width-height,sampling-1,47,56,7/19/2022,,,,
41_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,41,2,ACRE-Biomass,Late,y22,width-height,sampling-1,33,54.1,7/19/2022,,,,
41_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,41,2,ACRE-Biomass,Late,y22,width-height,sampling-1,29.5,47,7/19/2022,,,,
41_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,41,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,41,7/19/2022,,,,
41_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,41,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37.5,44,7/19/2022,,,,
42_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,42,2,ACRE-Biomass,Late,y22,width-height,sampling-1,28,52,7/19/2022,,,,
42_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,42,2,ACRE-Biomass,Late,y22,width-height,sampling-1,31.5,53,7/19/2022,,,,
42_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,42,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35,43,7/19/2022,,,,
42_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,42,2,ACRE-Biomass,Late,y22,width-height,sampling-1,33,48,7/19/2022,,,,
43_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,43,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,53,7/19/2022,,,,
43_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,43,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35,54,7/19/2022,,,,
43_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,43,2,ACRE-Biomass,Late,y22,width-height,sampling-1,42,42,7/19/2022,,,,
43_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,43,2,ACRE-Biomass,Late,y22,width-height,sampling-1,37,50,7/19/2022,,,,
44_a_ACRE-Biomass_Late_y22_width-height_sampling-1,a,44,2,ACRE-Biomass,Late,y22,width-height,sampling-1,30,54,7/19/2022,,,,
44_b_ACRE-Biomass_Late_y22_width-height_sampling-1,b,44,2,ACRE-Biomass,Late,y22,width-height,sampling-1,34,42,7/19/2022,,,,
44_c_ACRE-Biomass_Late_y22_width-height_sampling-1,c,44,2,ACRE-Biomass,Late,y22,width-height,sampling-1,35.5,39,7/19/2022,,,,
44_d_ACRE-Biomass_Late_y22_width-height_sampling-1,d,44,2,ACRE-Biomass,Late,y22,width-height,sampling-1,32,45,7/19/2022,,,,
