id_observation,observation_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,Height (cm),Width (cm),picture_Plot,picture_Experiment,Date Of Measurement,notes_Plot
10_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,10,1,ACRE-Biomass,Early,y22,width-height,sampling-1,36.83,45.72,,,7/12/2022,
11_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,11,1,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,35.56,,,7/12/2022,
11_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,11,1,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,33.02,,,7/12/2022,
12_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,12,1,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,21.59,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/12_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Plot_1_2022-07-12-04-05-16.jpg,,7/12/2022,
12_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,12,1,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,29.21,,,7/12/2022,
13_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,13,1,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,26.67,,,7/12/2022,
13_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,13,1,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,30.48,,,7/12/2022,
14_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,14,1,ACRE-Biomass,Early,y22,width-height,sampling-1,35.56,36.83,,,7/12/2022,
14_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,14,1,ACRE-Biomass,Early,y22,width-height,sampling-1,38.1,38.1,,,7/12/2022,
15_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,15,1,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,46.99,,,7/12/2022,
15_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,15,1,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,36.83,,,7/12/2022,
16_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,16,1,ACRE-Biomass,Early,y22,width-height,sampling-1,33.02,38.1,,,7/12/2022,
16_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,16,1,ACRE-Biomass,Early,y22,width-height,sampling-1,41.91,48.26,,,7/12/2022,
17_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,17,1,ACRE-Biomass,Early,y22,width-height,sampling-1,34.29,30.48,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/17_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Plot_1_2022-07-12-04-12-02.jpg,,7/12/2022,
17_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,17,1,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,27.94,,,7/12/2022,
18_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,18,1,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,43.18,,,7/12/2022,
18_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,18,1,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,43.18,,,7/12/2022,
19_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,19,1,ACRE-Biomass,Early,y22,width-height,sampling-1,31.75,40.64,,,7/12/2022,Almost R1
19_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,19,1,ACRE-Biomass,Early,y22,width-height,sampling-1,38.1,34.29,,,7/12/2022,
20_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,20,1,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,40.64,,,7/12/2022,
20_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,20,1,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,36.83,,,7/12/2022,
21_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,21,1,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,40.64,,,7/12/2022,
21_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,21,1,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,43.18,,,7/12/2022,
22_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,22,1,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,48.26,,,7/12/2022,
22_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,22,1,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,45.72,,,7/12/2022,
23_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,23,1,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,49.53,,,7/12/2022,
23_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,23,1,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,48.26,,,7/12/2022,
24_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,24,1,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,34.29,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/24_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Plot_1_2022-07-12-04-26-09.jpg,,7/12/2022,
24_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,24,1,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,27.94,,,7/12/2022,
25_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,25,1,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,36.83,,,7/12/2022,
25_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,25,1,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,45.72,,,7/12/2022,
26_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,26,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,46.99,,,7/12/2022,
26_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,26,2,ACRE-Biomass,Early,y22,width-height,sampling-1,15.24,40.64,,,7/12/2022,
27_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,27,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,30.48,,,7/12/2022,
27_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,27,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,39.37,,,7/12/2022,
28_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,28,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,39.37,,,7/12/2022,
28_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,28,2,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,43.18,,,7/12/2022,
29_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,29,2,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,40.64,,,7/12/2022,
29_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,29,2,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,45.72,,,7/12/2022,
30_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,30,2,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,36.83,,,7/12/2022,
30_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,30,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,38.1,,,7/12/2022,
31_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,31,2,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,38.1,,,7/12/2022,
31_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,31,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,41.91,,,7/12/2022,
32_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,32,2,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,53.34,,,7/12/2022,
32_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,32,2,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,43.18,,,7/12/2022,
33_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,33,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,33.02,,,7/12/2022,
33_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,33,2,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,41.91,,,7/12/2022,
34_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,34,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,48.26,,,7/12/2022,
34_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,34,2,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,45.72,,,7/12/2022,
35_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,35,2,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,50.8,,,7/12/2022,
35_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,35,2,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,48.26,,,7/12/2022,
36_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,36,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,40.64,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/36_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Plot_1_2022-07-12-04-54-59.jpg,,7/12/2022,
36_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,36,2,ACRE-Biomass,Early,y22,width-height,sampling-1,15.24,33.02,,,7/12/2022,
37_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,37,2,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,34.29,,,7/12/2022,
37_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,37,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,33.02,,,7/12/2022,
38_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,38,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,34.29,,,7/12/2022,
38_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,38,2,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,36.83,,,7/12/2022,
39_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,39,2,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,27.94,,,7/12/2022,
39_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,39,2,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,35.56,,,7/12/2022,
40_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,40,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,46.99,,,7/12/2022,
40_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,40,2,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,38.1,,,7/12/2022,
41_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,41,2,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,40.64,,,7/12/2022,
41_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,41,2,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,30.48,,,7/12/2022,
42_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,42,2,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,38.1,,,7/12/2022,
42_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,42,2,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,41.91,,,7/12/2022,
43_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,43,2,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,40.64,,,7/12/2022,
43_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,43,2,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,44.45,,,7/12/2022,
44_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,44,2,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,43.18,,,7/12/2022,
44_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,44,2,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,38.1,,,7/12/2022,
45_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,45,2,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,44.45,,,7/12/2022,
45_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,45,2,ACRE-Biomass,Early,y22,width-height,sampling-1,33.02,58.42,,,7/12/2022,
46_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,46,2,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,40.64,,,7/12/2022,
46_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,46,2,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,43.18,,,7/12/2022,
47_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,47,2,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,50.8,,,7/12/2022,
47_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,47,2,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,43.18,,,7/12/2022,
48_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,48,2,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,40.64,,,7/12/2022,
48_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,48,2,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,48.26,,,7/12/2022,
49_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,49,2,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,40.64,,,7/12/2022,
49_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,49,2,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,41.91,,,7/12/2022,
50_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,50,2,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,36.83,,,7/12/2022,
50_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,50,2,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,39.37,,,7/12/2022,
51_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,51,3,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,40.64,,,7/12/2022,
51_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,51,3,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,48.26,,,7/12/2022,
52_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,52,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,44.45,,,7/12/2022,
52_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,52,3,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,40.64,,,7/12/2022,
53_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,53,3,ACRE-Biomass,Early,y22,width-height,sampling-1,12.7,26.67,,,7/12/2022,
53_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,53,3,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,34.29,,,7/12/2022,
54_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,54,3,ACRE-Biomass,Early,y22,width-height,sampling-1,15.24,38.1,,,7/12/2022,
54_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,54,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,38.1,,,7/12/2022,
55_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,55,3,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,38.1,,,7/12/2022,
55_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,55,3,ACRE-Biomass,Early,y22,width-height,sampling-1,33.02,40.64,,,7/12/2022,
56_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,56,3,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,45.72,,,7/12/2022,
56_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,56,3,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,43.18,,,7/12/2022,
57_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,57,3,ACRE-Biomass,Early,y22,width-height,sampling-1,13.97,49.53,,,7/12/2022,
57_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,57,3,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,50.8,,,7/12/2022,
58_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,58,3,ACRE-Biomass,Early,y22,width-height,sampling-1,13.9954,39.37,,,7/12/2022,
58_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,58,3,ACRE-Biomass,Early,y22,width-height,sampling-1,40.64,41.91,,,7/12/2022,
59_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,59,3,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,40.64,,,7/12/2022,
59_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,59,3,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,44.45,,,7/12/2022,
60_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,60,3,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,43.18,,,7/12/2022,
60_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,60,3,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,35.56,,,7/12/2022,
61_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,61,3,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,43.18,,,7/12/2022,
61_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,61,3,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,33.02,,,7/12/2022,
62_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,62,3,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,35.56,,,7/12/2022,
62_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,62,3,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,40.64,,,7/12/2022,
63_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,63,3,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,40.64,,,7/12/2022,
63_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,63,3,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,40.64,,,7/12/2022,
64_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,64,3,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,34.29,,,7/12/2022,
64_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,64,3,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,38.1,,,7/12/2022,
65_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,65,3,ACRE-Biomass,Early,y22,width-height,sampling-1,16.51,46.99,,,7/12/2022,
65_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,65,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,45.72,,,7/12/2022,
66_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,66,3,ACRE-Biomass,Early,y22,width-height,sampling-1,31.75,38.1,,,7/12/2022,
66_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,66,3,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,39.37,,,7/12/2022,
67_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,67,3,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,33.02,,,7/12/2022,
67_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,67,3,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,25.4,,,7/12/2022,
68_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,68,3,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,33.02,,,7/12/2022,
68_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,68,3,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,40.64,,,7/12/2022,
69_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,69,3,ACRE-Biomass,Early,y22,width-height,sampling-1,20.32,44.45,,,7/12/2022,
69_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,69,3,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,43.18,,,7/12/2022,
70_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,70,3,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,34.29,,,7/12/2022,
70_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,70,3,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,40.64,,,7/12/2022,
71_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,71,3,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,43.18,,,7/12/2022,
71_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,71,3,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,41.91,,,7/12/2022,
72_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,72,3,ACRE-Biomass,Early,y22,width-height,sampling-1,30.48,34.29,,,7/12/2022,
72_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,72,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,33.02,,,7/12/2022,
73_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,73,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,49.53,,,7/12/2022,
73_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,73,3,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,48.26,,,7/12/2022,
74_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,74,3,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,44.45,,,7/12/2022,
74_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,74,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,35.56,,,7/12/2022,
75_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,75,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,43.18,,,7/12/2022,
75_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,75,3,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,39.37,,,7/12/2022,
76_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,76,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,41.91,,,7/12/2022,
76_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,76,4,ACRE-Biomass,Early,y22,width-height,sampling-1,19.05,43.18,,,7/12/2022,
77_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,77,4,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,52.07,,,7/12/2022,
77_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,77,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,46.99,,,7/12/2022,
78_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,78,4,ACRE-Biomass,Early,y22,width-height,sampling-1,21.59,40.64,,,7/12/2022,
78_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,78,4,ACRE-Biomass,Early,y22,width-height,sampling-1,17.78,46.99,,,7/12/2022,
79_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,79,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,53.34,,,7/12/2022,
79_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,79,4,ACRE-Biomass,Early,y22,width-height,sampling-1,25.4,46.99,,,7/12/2022,
80_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,80,4,ACRE-Biomass,Early,y22,width-height,sampling-1,24.13,49.53,,,7/12/2022,
80_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,80,4,ACRE-Biomass,Early,y22,width-height,sampling-1,22.86,46.99,,,7/12/2022,
81_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,81,4,ACRE-Biomass,Early,y22,width-height,sampling-1,29.21,49.53,,,7/12/2022,
81_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,81,4,ACRE-Biomass,Early,y22,width-height,sampling-1,27.94,48.26,,,7/12/2022,
82_a_ACRE-Biomass_Early_y22_width-height_sampling-1,a,82,4,ACRE-Biomass,Early,y22,width-height,sampling-1,15.24,39.37,/storage/emulated/0/plot_data/width-height_1_ACRE-Biomass_Early_y22/photos/82_a_ACRE-Biomass_Early_y22_width-height_sampling-1_picture_Plot_1_2022-07-12-05-47-06.jpg,,7/12/2022,
82_b_ACRE-Biomass_Early_y22_width-height_sampling-1,b,82,4,ACRE-Biomass,Early,y22,width-height,sampling-1,26.67,46.99,,,7/12/2022,
